id,name,follower_count,engagement_rate,platform_specialty_platforms,platform_specialty_fields
Q87905,Walter Bitterlich,,,,forestry
Q87906,Paul Ramdohr,,,,
Q87934,Roland Pröll,,,,
Q87937,Gustav Niessl von Mayendorf,,,,
Q87938,Gustav Scheck,,,,"flute performance, musicology"
Q87939,Anton Eiselsberg,,,,
Q87940,Enno Dirksen,,,,
Q87946,Christian Friederich Ruppe,,,,
Q87956,Ruth Cohn,,,,"poetry, Q12054586, psychoanalytic psychotherapy, psychotherapy, psychological counseling, humanistic psychology"
Q87964,Ernst Salomon Cyprian,,,,"theology, educational system, library science"
Q87972,Rudolf Wiegmann,,,,
Q87973,Viktor Kafka,,,,
Q87977,Hermann Swoboda,,,,
Q87979,Igor Caruso,,,,
Q87981,Alois Höfler,,,,
Q87985,Carl Patsch,,,,"Slavic studies, history"
Q87995,Karl Friedrich Plattner,,,,metallurgy
Q87999,Eduard Heinrich Henoch,,,,
Q88003,Karl Budde,,,,
Q88005,Karl Joseph Hieronymus Windischmann,,,,
Q88014,Gustav Rümelin,,,,
Q88021,Victor von Bruns,,,,
Q88027,Max Delbrück,,,,
Q88032,Felix Deutsch,,,,
Q88033,Alfred Hillebrandt,,,,
Q88041,Nikolaus Hofreiter,,,,"mathematics, number theory"
Q88045,Kuno Lorenz,,,,philosophy
Q88051,Rainer Stadelmann,,,,
Q88057,Hans Luckhardt,,,,architecture
Q88081,Kurt Singer,,,,"economics, philosophy"
Q88093,Jaroslav Tkáč,,,,
Q88095,Ludwig Ferdinand Clauss,,,,
Q88104,Robert van Ackeren,,,,
Q88110,Hans Leopold Meyer,,,,organic chemistry
Q88118,Hermann Hunger,,,,"ancient astronomy, oriental studies, cuneiform clay tablet, history of astronomy, cuneiform"
Q88121,Rudolf Gleißner,,,,
Q88123,Boris Kerner,,,,"transportation engineering, road transport, plasma physics, physics, solid-state physics, mathematics, traffic"
Q88128,Alois Purgathofer,,,,
Q88130,Otto Benesch,,,,
Q88145,Julius Arthur Nieuwland,,,,"acetylene, chemistry, botany"
Q88150,Wolfgang Harich,,,,
Q88151,Martina Pippal,,,,
Q88152,Barbara Aland,,,,"theology, history of Christianity, New Testament studies, classical philology"
Q88155,Robert Seiringer,,,,
Q88163,Ernst Plischke,,,,
Q88164,Hans von Hentig,,,,
Q88170,Ingo Wegener,,,,
