id,name,net_worth,companies
Q98319,Stefan Arndt,,
Q98330,Florian Homm,,
Q98391,Freya Hoffmeister,,
Q98401,Ulf Mark Schneider,,
Q98415,Rainer Hertrich,,"Airbus SE - Frankfurt Stock Exchange, Airbus SE - Frankfurt Stock Exchange, Airbus SE - Frankfurt Stock Exchange, Airbus SE - Frankfurt Stock Exchange, Airbus SE - Madrid Stock Exchange, Airbus SE - Madrid Stock Exchange, Airbus SE - Madrid Stock Exchange, Airbus SE - Madrid Stock Exchange, Airbus SE - Euronext Paris, Airbus SE - Euronext Paris, Airbus SE - Euronext Paris, Airbus SE - Euronext Paris"
Q98437,Rolf Eden,,
Q98528,Henry Bolckow,,
Q98670,Günter Herlitz,,
Q99273,Thomas-Bernd Quaas,,
Q99314,Kemal Şahin,,
Q100518,Wilhelm Rudolf Mann,,
Q100662,Riccardo Cassin,,
Q101174,Joachim Zahn,,"Daimler-Benz AG - Tokyo Stock Exchange, Daimler-Benz AG - Tokyo Stock Exchange, Daimler-Benz AG - Tokyo Stock Exchange"
Q101204,Erwin Conradi,,
Q101446,Johanna von Schaffgotsch,,
Q101610,Fritz Kranefuss,,
Q101638,Mary Wollstonecraft,,
Q101755,August François von Finck,,
Q102206,Otto-Ernst Flick,,
Q103215,Wolfgang Bernhard,,"Mercedes-Benz Group - Frankfurt Stock Exchange, Mercedes-Benz Group - Frankfurt Stock Exchange, Mercedes-Benz Group - Frankfurt Stock Exchange, Mercedes-Benz Group - Frankfurt Stock Exchange, Mercedes-Benz Group - Italian Stock Exchange, Mercedes-Benz Group - Italian Stock Exchange, Mercedes-Benz Group - Italian Stock Exchange, Mercedes-Benz Group - Italian Stock Exchange"
Q103337,Dieter König,,
Q103647,Erivan Haub,,
Q103664,Vladimir Kagan,,
Q103848,Philipp Humm,,
Q104127,Douglas Fairbanks,,
Q104161,Harry Warner,,
Q104574,Max Kade,,
Q104629,Alex Hannig,,
Q104636,Carl Herlitz,,
Q104859,Michael Collins,,
Q105659,Johann-Joseph Krug,,
Q105910,Wilhelm Zangen,,
Q105926,Ingeburg Herz,,
Q106005,Hossein Sabet,,
Q106062,Dominik Brunner,,"Erlus, Erlus"
Q106093,Klaus Schnellenkamp,,
Q106340,Bertolt Flick,,
Q106381,Dejan Ilic,,
Q106508,Gérard Depardieu,,
Q106586,Max Heinhold,,
Q106666,Helene Amalie Krupp,,
Q106959,Wilhelm von Carstenn,,
Q107037,Leymah Roberta Gbowee,,
Q107502,Thomas Dachser,,
Q107649,Christian Becker,,
Q107770,J. Henry Schroder,,
Q107797,Mathias Döpfner,,
Q107957,Alexander Haig,,
Q108643,Gerhard Maywald,,
Q108783,Claus Wellenreuther,,
Q108903,Michael Braun,,
Q109080,Joseph Pschorr,,
Q109468,Margarethe Krupp,,
Q109677,Christoph Mohn,,
Q109774,William Thomas Mulvany,,
Q109829,Horst Brandstätter,,
Q109853,Thomas Middelhoff,,"Bertelsmann, Investcorp"
Q110269,Peter Unger,,
Q110419,Frederick Miller,,
Q110428,Rüdiger Grube,,"Deutsche Bahn, Deutsche Bahn, Deutsche Bahn, Mercedes-Benz Group - Frankfurt Stock Exchange, Mercedes-Benz Group - Frankfurt Stock Exchange, Mercedes-Benz Group - Frankfurt Stock Exchange, Mercedes-Benz Group - Frankfurt Stock Exchange, Mercedes-Benz Group - Italian Stock Exchange, Mercedes-Benz Group - Italian Stock Exchange, Mercedes-Benz Group - Italian Stock Exchange, Mercedes-Benz Group - Italian Stock Exchange, DASA, DASA, Messerschmitt-Bölkow-Blohm"
Q110450,Wally Schirra,,
Q111046,Carl Berg,,
Q111392,Sylvia Ströher,,
Q111574,"Paul Deighton, Baron Deighton",,
Q111771,Walter Rohland,,
Q111980,Banhan Sinlapa-acha,,
Q112284,Charles Duke,,
Q112534,Ed Zschau,,"IBM - New York Stock Exchange, IBM - New York Stock Exchange, IBM - New York Stock Exchange, IBM - New York Stock Exchange, IBM - New York Stock Exchange, IBM - New York Stock Exchange, IBM - New York Stock Exchange"
Q112763,Manfred Gerstenfeld,,
Q112827,Johann Cesar VI. Godeffroy,,J.C. Godeffroy & son
Q112863,Johann Christoph Fugger,,
Q113007,Hubertus von Hohenlohe,,
Q113107,Emil Heinrich Meyer,,
Q113381,Gottlob Kralik,,
Q113492,Caprice Bourret,,
Q113635,Helmut Sohmen,,
Q113812,Georgios Sinas,,
Q114001,Klaus Agthe,,
Q114760,Ron Huldai,,
Q114866,Meir Dizengoff,,
Q115055,David Geffen,7800000000 USD (2019-01-01T00:00:00Z),
Q115500,Hans Max Gamper-Haessig,,
Q115833,Bob Lutz,,
Q116012,Peter Voser,,
Q116157,Marcel Ospel,,
Q116679,Dan Vasella,,
Q116774,Frank Abagnale,,
Q117041,Selwyn Edge,,
Q117139,Wiz Khalifa,,
Q117180,Marc Birkigt,,
Q117217,Hans R. Camenzind,,
Q118664,Christopher Sower,,
Q118766,Peter Staub,,
Q119293,Peter Wuffli,,"UBS - New York Stock Exchange, UBS - New York Stock Exchange, UBS - New York Stock Exchange, UBS - Swiss Stock Exchange, UBS - Swiss Stock Exchange, UBS - Swiss Stock Exchange"
Q119475,Peter Zec,,
Q119562,Sergio Agüero,,
Q119588,Umberto Smaila,,
Q119675,Carlo Sutermeister,,
Q119848,Stefan Heinig,,
Q119849,Dean Devlin,,
Q119937,Henri-Louis Pernod,,
Q120029,Jean-Jacques Fiechter,,
Q120355,Julius Maggi,,
Q120613,Martin Emerich,,
Q120622,Pierre Arnold,,Migros
Q120850,Eric Honegger,,
Q121164,Andreas Meyer,,Swiss Federal Railways
Q121262,Édouard Werlé,,
Q121482,Johann Gottlieb Benjamin Siegert,,
Q121831,Ernst Thomke,,
Q122003,Julio Iglesias,,
Q122853,Henning Wehn,,
Q123004,Behgjet Pacolli,,
Q123101,Robert Louis-Dreyfus,,
Q123387,Clyde Cessna,,
Q123638,Carlo De Benedetti,,
Q123679,Abraham-Louis Breguet,,
Q123779,Fritz Schlumpf,,
Q124149,Giorgos Angelopoulos,,
Q124157,Panagiotis Angelopoulos,,
Q124382,Maurice Mességué,,
Q124428,John Sutter,,
Q124462,Meyer Guggenheim,,
Q124566,Amélie Thyssen,,
Q124596,Marco Börries,,
Q124647,Ali Ghaleb Himmat,,
