id,name,mediums,styles,galleries_exhibits
Q154335,Yves Klein,"nettle cloth, sponge, plywood, panel, synthetic resin, pigment, paper, canvas, pebble, particle board, acrylic paint, gold leaf",Nouveau réalisme,"Museum Folkwang, Solomon R. Guggenheim Museum, Stedelijk Museum voor Actuele Kunst, Los Angeles County Museum of Art, Staatsgalerie Stuttgart, Prints in the National Gallery of Art, Metropolitan Museum of Art, Tate Modern, Museum of Modern Art, National Museum of Modern Art, National Gallery of Art, Stedelijk Museum Amsterdam, Westphalian State Museum of Art and Cultural History, Städel Museum, Museo Nacional Centro de Arte Reina Sofía, Institut Valencià d'Art Modern, Sprengel Museum, Kunstsammlung Nordrhein-Westfalen, Art Gallery of New South Wales, Neue Nationalgalerie, Museum Ludwig, Kunsthaus Zürich, Wallraf–Richartz Museum, San Francisco Museum of Modern Art"
Q154599,Robert Doisneau,gelatin silver print,,"collection of the Musée d’art contemporain de Montréal, National Gallery of Art, Photographs in the National Gallery of Art"
Q154759,Sven Hedin,,,Nationalmuseum
Q154842,Max Ernst,"hardboard, metal, gouache paint, panel, paperboard, cardboard, glass, paper, feather, plaster, griffel, bronze, canvas, oil paint, watercolor paint, particle board, gold leaf, cement, wood, sheet metal, paint, top color","Dada, surrealism","collection of the Musée d’art contemporain de Montréal, Museum Folkwang, Beyeler Foundation, Staatsgalerie Stuttgart, http://www.wikidata.org/.well-known/genid/c4d75db55f7bc7168e0692ddf2d2a760, http://www.wikidata.org/.well-known/genid/b4ad44b547afb923249dc85f55cfaa8b, National Museum of Modern Art, Musée Cantini, Albertina, Musée des beaux-arts de Liège, Bavarian State Painting Collections, Strasbourg Museum of Modern and Contemporary Art, National Museum Cardiff, Westphalian State Museum of Art and Cultural History, Städel Museum, Tel Aviv Museum of Art, Musée Zervos, Sprengel Museum, Kunstsammlung Nordrhein-Westfalen, Norfolk Museums Collections, University of Edinburgh Art Collection, Museum Ludwig, Unterlinden Museum, Manchester Art Gallery, Paul G. Allen Collection, Kunsthaus Zürich, Wallraf–Richartz Museum, Berardo Collection Museum, Musée d'art moderne de Paris, Busch–Reisinger Museum, Museum of Grenoble, Princeton University Art Museum, Nahmad Collection, Prints in the National Gallery of Art, http://www.wikidata.org/.well-known/genid/a823d06d8809110449868555af1a66fa, Scharf-Gerstenberg Collection, Museum of Modern Art, Museum Boijmans Van Beuningen, National Gallery of Art, Rosenwald Collection, National Trust, Staatliche Kunsthalle Karlsruhe, Buffalo AKG Art Museum, Cleveland Museum of Art, Yale University Art Gallery, Mildred Lane Kemper Art Museum, Neue Nationalgalerie, Seattle Art Museum, Israel Museum, Saint Louis Art Museum"
Q155057,Jasper Johns,"laid paper, wove paper, metal, textile, plywood, paperboard, paper, pastel, charcoal, collaging, colored pencil, wood, canvas, oil paint, wax paint, newspaper clipping, newsprint, graphite, http://www.wikidata.org/.well-known/genid/8d9124af205a080b262ffcce85256590, encaustic painting, object, lead, chain, aluminum, meterstick, acrylic paint","Neo-Dada, contemporary art, pop art","Prints in the National Gallery of Art, National Gallery of Art, Art Institute of Chicago, Virginia Museum of Fine Arts, Stedelijk Museum voor Actuele Kunst, drawings in the National Gallery of Art, http://www.wikidata.org/.well-known/genid/e8529489183d2f2c22f6908b570d14b6, Metropolitan Museum of Art, Dallas Museum of Art, Museum of Modern Art, National Museum of Modern Art, Tate, Philadelphia Museum of Art, Bavarian State Painting Collections, Stedelijk Museum Amsterdam, Rosenwald Collection, Whitney Museum of American Art, Tehran Museum of Contemporary Art, Cleveland Museum of Art, Museum of Fine Arts, Houston, Yale University Art Gallery, Museum Ludwig, Sculptures in the National Gallery of Art, San Francisco Museum of Modern Art, Israel Museum, collection of the Musée d’art contemporain de Montréal, Princeton University Art Museum, Crystal Bridges Museum of American Art, http://www.wikidata.org/.well-known/genid/6c5799ce7f90134cfeafacd8301c57a5, Buffalo AKG Art Museum, Knecht-Drenth Collection, Smithsonian American Art Museum, Seattle Art Museum, Paul G. Allen Collection, Wallraf–Richartz Museum"
Q155158,Kurt Schwitters,"metal, panel, paperboard, wood, sheet glass, canvas, oil paint, Bambusa, gouache paint, cardboard, lithograph, collage, paper, stone, plaster, watercolor paint, wove paper",Dada,"Niedersächsische Sparkassenstiftung, Sprengel Museum, Museum Ludwig, Wallraf–Richartz Museum, Musée d'art moderne de Paris, Thyssen-Bornemisza Museum, Solomon R. Guggenheim Museum, Los Angeles County Museum of Art, Staatsgalerie Stuttgart, Prints in the National Gallery of Art, drawings in the National Gallery of Art, http://www.wikidata.org/.well-known/genid/0da65e5f43f37acf56b3a1a6e722dac3, Metropolitan Museum of Art, Museum of Modern Art, National Museum of Modern Art, National Gallery of Art, Musée d'Orsay, Stedelijk Museum Amsterdam, Dresden City Museum, ""degenerate art"" collection, The Phillips Collection, Staatliche Kunsthalle Karlsruhe, Berlinische Galerie, Institut Valencià d'Art Modern, Buffalo AKG Art Museum, Musée Granet, Kunstmuseum Den Haag, Yale University Art Gallery, Neue Nationalgalerie, Israel Museum, Victoria and Albert Museum, Finnish National Gallery, Abbot Hall Art Gallery, Hatton Gallery, Museum Belvédère"
Q155407,Jean-Michel Basquiat,"papier collé, Oil stick, panel, pencil, collage, paper, ink, pastel, gesso, wood, canvas, oil paint, oil pastel, aerosol paint, wax crayon, acrylic paint","primitivism, neo-expressionism","Art Institute of Chicago, Princeton University Art Museum, Crystal Bridges Museum of American Art, http://www.wikidata.org/.well-known/genid/68e589e7966fd463a2b37ee994c5e18c, http://www.wikidata.org/.well-known/genid/b1f28444713528a94d170b8949875cac, http://www.wikidata.org/.well-known/genid/722c664d7840ee1e204d7880b48d1a0a, http://www.wikidata.org/.well-known/genid/96ea40dfa726ed56e844738fcff1eb83, http://www.wikidata.org/.well-known/genid/708707edc7e08adc44df75d843f327c1, http://www.wikidata.org/.well-known/genid/46ebda5cb94a7f57434138454942a3a4, http://www.wikidata.org/.well-known/genid/2f5cf79bfbf131c1f32485ba717faa03, http://www.wikidata.org/.well-known/genid/e2061d78fe7fed6049bb5a3574f3468c, http://www.wikidata.org/.well-known/genid/dfcdc037ac0fe4dfe1536a3c3ab2c3a6, http://www.wikidata.org/.well-known/genid/e6e4f7f5f7eddb90c4a7a82d727c102f, http://www.wikidata.org/.well-known/genid/a27271d94dc943f47cea4af779642747, http://www.wikidata.org/.well-known/genid/724f5721a38f1a50af88b8a229b4ebd5, http://www.wikidata.org/.well-known/genid/40b8394650e8950a90a66ecf75bbda98, http://www.wikidata.org/.well-known/genid/f7074c580842f4edf639296371892eb1, http://www.wikidata.org/.well-known/genid/82a4b2b0a5a6adae4a5420d6fe60e8c1, http://www.wikidata.org/.well-known/genid/e0bef45fb25568e19253f343290206cc, http://www.wikidata.org/.well-known/genid/d7f9d1d252a546d0d3da55b047c95338, http://www.wikidata.org/.well-known/genid/f460a99452ff06358478e41d25174bce, http://www.wikidata.org/.well-known/genid/4d0857c6aa2d46f61a20bad27b2fac51, http://www.wikidata.org/.well-known/genid/075dbc1b7f8b974bff72015d824bfd31, Metropolitan Museum of Art, Dallas Museum of Art, National Museum of Modern Art, David Bowie's art collection, Museum Boijmans Van Beuningen, Bavarian State Painting Collections, The Broad, Whitney Museum of American Art, Luna Luna, Yale University Art Gallery, Israel Museum, Montreal Museum of Fine Arts, San Francisco Museum of Modern Art"
Q155855,Karel Čapek,,,
Q156070,Otakar Jaroš,,,
Q156175,Luís I of Portugal,,,
